date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
02:21:58	22138/22138	---M--	200	added ('OK')	text/html	etag:%22a5b66bf2a29c2a8a3993795c7c57ab05%22	https://blix.dev/	C:/My%20Web%20Sites/blix/blix.dev/index.html	(from )
02:21:58	255/255	---MC-	403	error ('Forbidden')	application/xml	date:Mon,%2011%20Sep%202023%2020:51:58%20GMT	https://blix.dev/robots.txt		(from )
02:21:58	7772/7772	---M--	200	added ('OK')	text/css	etag:%22afb4942e5838a7dc3b63d00ffcc87c9d%22	https://blix.dev/css/normalize.css	C:/My%20Web%20Sites/blix/blix.dev/css/normalize.css	(from https://blix.dev/)
02:21:59	39487/39487	---M--	200	added ('OK')	text/css	etag:%221e6bca32fa07f90718bffab8eb94ee05%22	https://blix.dev/css/webflow.css	C:/My%20Web%20Sites/blix/blix.dev/css/webflow.css	(from https://blix.dev/)
02:21:59	13188/13188	---M--	200	added ('OK')	text/javascript	date:Tue,%2003%20Mar%202020%2019:15:00%20GMT	https://ajax.googleapis.com/ajax/libs/webfont/1.6.26/webfont.js	C:/My%20Web%20Sites/blix/ajax.googleapis.com/ajax/libs/webfont/1.6.26/webfont.js	(from https://blix.dev/)
02:21:59	150786/150786	---M--	200	added ('OK')	text/css	etag:%22a09f67afee10ae668e82efed21dbaf77%22	https://blix.dev/css/blixx.webflow.css	C:/My%20Web%20Sites/blix/blix.dev/css/blixx.webflow.css	(from https://blix.dev/)
02:21:59	628/628	---M--	200	added ('OK')	image/png	etag:%226960bc394f2780e2ac4c6147d4021aab%22	https://blix.dev/images/favicon.png	C:/My%20Web%20Sites/blix/blix.dev/images/favicon.png	(from https://blix.dev/)
02:22:00	4790/4790	---M--	200	added ('OK')	image/png	etag:%2242df216ad3793363c17cfe6a8cc66c2c%22	https://blix.dev/images/webclip.png	C:/My%20Web%20Sites/blix/blix.dev/images/webclip.png	(from https://blix.dev/)
02:22:00	22138/22138	---M--	200	added ('OK')	text/html	etag:%22a5b66bf2a29c2a8a3993795c7c57ab05%22	https://blix.dev/index.html	C:/My%20Web%20Sites/blix/blix.dev/index-2.html	(from https://blix.dev/)
02:22:00	4846/4846	---M--	200	added ('OK')	image/png	etag:%22f8ad7055c7bcb029e30342992b9fcd63%22	https://blix.dev/images/Blix-logo-horizontally---white.png	C:/My%20Web%20Sites/blix/blix.dev/images/Blix-logo-horizontally---white.png	(from https://blix.dev/)
02:22:01	7841/7841	---M--	200	added ('OK')	text/html	etag:%22e39707d88af15d3e175cd8d475d485ab%22	https://blix.dev/joinus.html	C:/My%20Web%20Sites/blix/blix.dev/joinus.html	(from https://blix.dev/)
02:22:01	647/647	---M--	200	added ('OK')	image/png	etag:%2297a75d32b8b8bbd1fdeb54e963e7ee21%22	https://blix.dev/images/mdi_twitter.png	C:/My%20Web%20Sites/blix/blix.dev/images/mdi_twitter.png	(from https://blix.dev/)
02:22:01	667/667	---M--	200	added ('OK')	image/png	etag:%22e57b476f2d24ed79d64c876e635ecedd%22	https://blix.dev/images/akar-icons_medium-fill.png	C:/My%20Web%20Sites/blix/blix.dev/images/akar-icons_medium-fill.png	(from https://blix.dev/)
02:22:01	801/801	---M--	200	added ('OK')	image/png	etag:%2237078a84e0b69c7aeaa6dc469261851c%22	https://blix.dev/images/codicon_github-inverted.png	C:/My%20Web%20Sites/blix/blix.dev/images/codicon_github-inverted.png	(from https://blix.dev/)
02:22:02	345/345	---M--	200	added ('OK')	image/png	etag:%2218f27a0054d388c2914a0cb41ca32495%22	https://blix.dev/images/menu-icon.png	C:/My%20Web%20Sites/blix/blix.dev/images/menu-icon.png	(from https://blix.dev/)
02:22:02	287/287	---M--	200	added ('OK')	image/png	etag:%220682ef8b6810302a924c0f9039c690a4%22	https://blix.dev/images/puzzle-icon.png	C:/My%20Web%20Sites/blix/blix.dev/images/puzzle-icon.png	(from https://blix.dev/)
02:22:02	4410/4410	---M--	200	added ('OK')	image/png	etag:%2277ff57b937c3c522a6de5f017bcd67b7%22	https://blix.dev/images/Union.png	C:/My%20Web%20Sites/blix/blix.dev/images/Union.png	(from https://blix.dev/)
02:22:02	5396/5396	---M--	200	added ('OK')	image/png	etag:%22196ef89a9444081335a320b21ece5d15%22	https://blix.dev/images/Group-2726.png	C:/My%20Web%20Sites/blix/blix.dev/images/Group-2726.png	(from https://blix.dev/)
02:22:02	5214/5214	---M--	200	added ('OK')	image/png	etag:%221a042c4d78a2b9c46beea490eea92631%22	https://blix.dev/images/Vector.png	C:/My%20Web%20Sites/blix/blix.dev/images/Vector.png	(from https://blix.dev/)
02:22:03	4149/4149	---M--	200	added ('OK')	image/png	etag:%22bd1c3acc71feed844c369ba46587cdd4%22	https://blix.dev/images/Vector-220.png	C:/My%20Web%20Sites/blix/blix.dev/images/Vector-220.png	(from https://blix.dev/)
02:22:03	2757/2757	---M--	200	added ('OK')	image/png	etag:%22d938bc3664858669e3c9e17f997507a8%22	https://blix.dev/images/Vector-219.png	C:/My%20Web%20Sites/blix/blix.dev/images/Vector-219.png	(from https://blix.dev/)
02:22:04	243/243	---MC-	403	error ('Forbidden')	application/xml	date:Mon,%2011%20Sep%202023%2020:52:04%20GMT	https://blix.dev/%22videos/PAGE3-poster-00001.jpg%22	C:/My%20Web%20Sites/blix/blix.dev/_videos/PAGE3-poster-00001.jpg_	(from https://blix.dev/)
02:22:05	197625/197625	---M--	200	added ('OK')	video/mp4	etag:%222c5abfc245d6be03e7c16d0ff7f54f6b%22	https://blix.dev/videos/PAGE3-transcode.mp4	C:/My%20Web%20Sites/blix/blix.dev/videos/PAGE3-transcode.mp4	(from https://blix.dev/)
02:22:06	4115/4115	---M--	200	added ('OK')	image/png	etag:%22fc086a1817538a2d7ce3408ab6151f19%22	https://blix.dev/images/Vector-221.png	C:/My%20Web%20Sites/blix/blix.dev/images/Vector-221.png	(from https://blix.dev/)
02:22:06	336698/336698	---M--	200	added ('OK')	video/webm	etag:%22733cfaeef6e3ac462765be1c2dd5dfed%22	https://blix.dev/videos/PAGE3-transcode.webm	C:/My%20Web%20Sites/blix/blix.dev/videos/PAGE3-transcode.webm	(from https://blix.dev/)
02:22:06	243/243	---MC-	403	error ('Forbidden')	application/xml	date:Mon,%2011%20Sep%202023%2020:52:07%20GMT	https://blix.dev/%22videos/page-4-poster-00001.jpg%22	C:/My%20Web%20Sites/blix/blix.dev/_videos/page-4-poster-00001.jpg_	(from https://blix.dev/)
02:22:08	221654/221654	---M--	200	added ('OK')	video/mp4	etag:%227ef3dcef68d19e302046ec73eebcb7d4%22	https://blix.dev/videos/page-4-transcode.mp4	C:/My%20Web%20Sites/blix/blix.dev/videos/page-4-transcode.mp4	(from https://blix.dev/)
02:22:08	356/356	---M--	200	added ('OK')	image/png	etag:%22b10985db8db7814ba487642e93dbd56c%22	https://blix.dev/images/material-symbols_check-small-rounded_1.png	C:/My%20Web%20Sites/blix/blix.dev/images/material-symbols_check-small-rounded_1.png	(from https://blix.dev/)
02:22:09	350/350	---M--	200	added ('OK')	image/png	etag:%22e15fd1e90d83a9510c2717d453d6d3b9%22	https://blix.dev/images/material-symbols_check-small-rounded.png	C:/My%20Web%20Sites/blix/blix.dev/images/material-symbols_check-small-rounded.png	(from https://blix.dev/)
02:22:09	363802/363802	---M--	200	added ('OK')	video/webm	etag:%2217d9569e12e727263cedc1742fcd36d5%22	https://blix.dev/videos/page-4-transcode.webm	C:/My%20Web%20Sites/blix/blix.dev/videos/page-4-transcode.webm	(from https://blix.dev/)
02:22:10	89476/89476	---MCZ	200	added ('OK')	application/javascript	etag:W/%22dc5e7f18c8d36ac1d3d4753a87c98d0a%22	https://d3e54v103j8qbb.cloudfront.net/js/jquery-3.5.1.min.dc5e7f18c8.js?site=63aac023e8e2f5e7fb892e84	C:/My%20Web%20Sites/blix/d3e54v103j8qbb.cloudfront.net/js/jquery-3.5.1.min.dc5e7f18c8ed99.js	(from https://blix.dev/)
02:22:10	621769/621769	---M--	200	added ('OK')	application/javascript	etag:%22dc3cf6d146e69c9bf00de92f1f5b25bf%22	https://blix.dev/js/webflow.js	C:/My%20Web%20Sites/blix/blix.dev/js/webflow.js	(from https://blix.dev/)
02:22:10	939141/939141	---M--	200	added ('OK')	image/png	etag:%226f9bcc3cbc91278be2d3181be6fa68bf%22	https://blix.dev/images/gear.png	C:/My%20Web%20Sites/blix/blix.dev/images/gear.png	(from https://blix.dev/)
02:22:11	2146/2146	---M--	200	added ('OK')	image/svg+xml	etag:%22ac8cf746db68c5f4add48bbcde8c835a%22	https://blix.dev/images/portfolio-2---wide.svg	C:/My%20Web%20Sites/blix/blix.dev/images/portfolio-2---wide.svg	(from https://blix.dev/css/blixx.webflow.css)
02:22:12	2462/2462	---M--	200	added ('OK')	image/svg+xml	etag:%22b05e6b117d5761a7f63171cb28a58a7c%22	https://blix.dev/images/portfolio-1---wide.svg	C:/My%20Web%20Sites/blix/blix.dev/images/portfolio-1---wide.svg	(from https://blix.dev/css/blixx.webflow.css)
02:22:13	2159/2159	---M--	200	added ('OK')	image/svg+xml	etag:%2291e2ac459f7b0ddaa3734656e298cb6e%22	https://blix.dev/images/portfolio-3---wide.svg	C:/My%20Web%20Sites/blix/blix.dev/images/portfolio-3---wide.svg	(from https://blix.dev/css/blixx.webflow.css)
02:22:15	1010200/1010200	---M--	200	added ('OK')	image/jpeg	etag:%2251c8f053ddcac37a05cecd0734c15560%22	https://blix.dev/images/Frame-4.jpg	C:/My%20Web%20Sites/blix/blix.dev/images/Frame-4.jpg	(from https://blix.dev/css/blixx.webflow.css)
02:22:15	1063929/1063929	---M--	200	added ('OK')	image/jpeg	etag:%22b45fb8d9c76b1bd1fc43efce54d48507%22	https://blix.dev/images/Frame-3.jpg	C:/My%20Web%20Sites/blix/blix.dev/images/Frame-3.jpg	(from https://blix.dev/css/blixx.webflow.css)
02:22:16	3642750/3642750	---M--	200	added ('OK')	image/jpeg	etag:%22e7adfa79a4523722bff7d2f9e532d3bd%22	https://blix.dev/images/Frame-61.jpg	C:/My%20Web%20Sites/blix/blix.dev/images/Frame-61.jpg	(from https://blix.dev/css/blixx.webflow.css)
02:22:17	3485648/3485648	---M--	200	added ('OK')	image/jpeg	etag:%2286dd0d09829caa017d00885d5f888b88%22	https://blix.dev/images/Frame-62.jpg	C:/My%20Web%20Sites/blix/blix.dev/images/Frame-62.jpg	(from https://blix.dev/css/blixx.webflow.css)
02:22:18	943279/943279	---M--	200	added ('OK')	image/png	etag:%224e85217a118ac86f039962662f380f92%22	https://blix.dev/images/logo_1.png	C:/My%20Web%20Sites/blix/blix.dev/images/logo_1.png	(from https://blix.dev/css/blixx.webflow.css)
